timestamp,PPG
1669285067.1484468,1704
1669285067.1494434,1790
1669285067.1724393,1919
1669285067.1734395,2095
1669285067.2004573,2315
1669285067.2024384,2558
1669285067.2034373,2798
1669285067.2224424,3005
1669285067.2234418,3157
1669285067.2474399,3248
1669285067.2484689,3268
1669285067.249469,3215
1669285067.2724736,3095
1669285067.3024383,2482
1669285067.3034735,2257
1669285067.3224416,2045
1669285067.3484604,1581
1669285067.3724382,1494
1669285067.3734405,1433
1669285067.3744402,1390
1669285067.3974407,1366
1669285067.398444,1357
1669285067.4224403,1363
1669285067.423439,1383
1669285067.4244392,1416
1669285067.44744,1463
1669285067.4485123,1529
1669285067.4495153,1606
1669285067.472469,1686
1669285067.4734697,1766
1669285067.4975207,1836
1669285067.4985204,1896
1669285067.499533,1947
1669285067.5224388,1983
1669285067.5234444,2000
1669285067.5475547,1996
1669285067.548529,1977
1669285067.5495229,1947
1669285067.5724683,1906
1669285067.5794716,1854
1669285067.59764,1799
1669285067.5985515,1748
1669285067.600438,1701
1669285067.62244,1661
1669285067.6234398,1623
1669285067.6584375,1592
1669285067.6594384,1567
1669285067.660438,1549
1669285067.6624382,1543
1669285067.6976306,1540
1669285067.6986294,1544
1669285067.7004378,1555
1669285067.7014384,1569
1669285067.7224367,1581
1669285067.7234385,1591
1669285067.7474542,1605
1669285067.7724717,1620
1669285067.7734745,1638
1669285067.7744436,1655
1669285067.797627,1669
1669285067.7986264,1678
1669285067.8004386,1679
1669285067.822479,1676
1669285067.8234375,1670
1669285067.8244643,1666
1669285067.8476315,1666
1669285067.8485632,1668
1669285067.8724678,1672
1669285067.8734708,1677
1669285067.8744411,1682
1669285067.8974426,1691
1669285067.8986263,1698
1669285067.9244733,1708
1669285067.9254405,1711
1669285067.9274416,1717
1669285067.9476287,1715
1669285067.9484591,1713
1669285067.9724724,1709
1669285067.9734735,1704
1669285067.9744399,1700
1669285067.9976408,1693
1669285067.9986436,1685
1669285068.0224402,1677
1669285068.0234942,1670
1669285068.0244644,1664
1669285068.0476396,1664
1669285068.0484395,1661
1669285068.0744417,1623
1669285068.097439,1623
1669285068.1224391,1655
1669285068.1234403,1733
1669285068.1244392,1862
1669285068.1254425,2049
1669285068.147527,2284
1669285068.1724396,3050
1669285068.1734402,3233
1669285068.1974795,3352
1669285068.2224412,3256
1669285068.2234402,3083
1669285068.247439,2868
1669285068.248441,2629
1669285068.2724414,2387
1669285068.2734427,2159
1669285068.2744386,1956
1669285068.2984416,1785
1669285068.2994626,1647
1669285068.3044407,1549
1669285068.3224397,1490
1669285068.3234386,1463
1669285068.3474433,1460
1669285068.3484445,1468
1669285068.3724358,1482
1669285068.3734403,1497
1669285068.3984377,1587
1669285068.422444,1625
1669285068.423441,1670
1669285068.447441,1718
1669285068.4724388,1776
1669285068.473439,1833
1669285068.4744394,1883
1669285068.4754367,1922
1669285068.4774373,1947
1669285068.4975202,1961
1669285068.4985218,1956
1669285068.522444,1946
1669285068.5484445,1800
1669285068.573441,1656
1669285068.5974538,1622
1669285068.59844,1593
1669285068.6474364,1565
1669285068.6484463,1569
1669285068.672439,1578
1669285068.6734369,1593
1669285068.6744385,1606
1669285068.6974387,1618
1669285068.7224429,1641
1669285068.7234416,1659
1669285068.747445,1680
1669285068.772438,1700
1669285068.7804635,1719
1669285068.7975125,1738
1669285068.7985115,1756
1669285068.7994688,1766
1669285068.8004746,1767
1669285068.8224387,1763
1669285068.8234732,1754
1669285068.8244421,1743
1669285068.8475122,1739
1669285068.8484986,1740
1669285068.8724742,1742
1669285068.8734813,1743
1669285068.8744738,1742
1669285068.897506,1741
1669285068.8985126,1735
1669285068.9384768,1728
1669285068.9394774,1719
1669285068.9414415,1715
1669285068.942481,1710
1669285068.9434407,1711
1669285068.972474,1712
1669285068.9734747,1710
1669285068.9744742,1702
1669285068.9974923,1693
1669285068.9984994,1682
1669285069.022441,1670
1669285069.023438,1656
1669285069.0244384,1643
1669285069.047531,1637
1669285069.0485291,1639
1669285069.0724723,1656
1669285069.0734777,1693
1669285069.0974493,1771
1669285069.098627,1896
1669285069.1227248,2073
1669285069.12373,2294
1669285069.1247258,2539
1669285069.1257262,2783
1669285069.1467211,3005
1669285069.14872,3177
1669285069.1717205,3281
1669285069.1737223,3310
1669285069.174725,3262
1669285069.1970074,3142
1669285069.199007,2969
1669285069.2220068,2762
1669285069.2230098,2534
1669285069.2250333,2300
1669285069.2470934,2074
1669285069.249091,1869
1669285069.2720447,1689
1669285069.2740073,1545
1669285069.2750077,1446
1669285069.2980168,1384
1669285069.3000498,1357
1669285069.3220065,1357
1669285069.323012,1369
1669285069.3250113,1388
1669285069.3720114,1491
1669285069.3730094,1544
1669285069.3750472,1604
1669285069.3970122,1668
1669285069.3980155,1735
1669285069.4220116,1799
1669285069.4230113,1862
1669285069.4490223,1974
1669285069.472008,1978
1669285069.4730074,1967
1669285069.5230076,1871
1669285069.52501,1825
1669285069.5260074,1781
1669285069.5470095,1737
1669285069.548005,1692
1669285069.5500135,1646
1669285069.5780134,1604
1669285069.5820055,1528
1669285069.5970058,1518
1669285069.6220071,1509
1669285069.6230075,1508
1669285069.6250083,1510
1669285069.6470048,1517
1669285069.648005,1529
1669285069.675011,1597
1669285069.6970072,1621
1669285069.69804,1641
1669285069.7230122,1662
1669285069.7250087,1682
1669285069.7260153,1697
1669285069.7470655,1711
1669285069.77301,1741
1669285069.775012,1748
1669285069.7970798,1759
1669285069.8720365,1758
1669285069.8730092,1752
1669285069.875011,1744
1669285069.8970163,1734
1669285069.8980086,1718
1669285069.9220102,1701
1669285069.923009,1685
1669285069.925012,1670
1669285069.9470403,1656
1669285069.949007,1642
1669285069.9720473,1629
1669285069.9740179,1618
1669285069.9980063,1634
1669285070.0220094,1683
1669285070.0240161,1773
1669285070.0250132,1911
1669285070.0470536,2092
1669285070.0480063,2297
1669285070.072034,2504
1669285070.0730095,2694
1669285070.0750396,2850
1669285070.0970929,2959
1669285070.0980852,3009
1669285070.1220086,2993
1669285070.147024,2627
1669285070.1480367,2437
1669285070.1720436,2244
1669285070.1730118,2050
1669285070.1750424,1862
1669285070.2180066,1696
1669285070.2200086,1562
1669285070.2210116,1459
1669285070.222007,1377
1669285070.227041,1322
1669285070.2470224,1292
1669285070.272038,1286
1669285070.2730098,1296
1669285070.297094,1323
1669285070.2990072,1370
1669285070.300104,1432
1669285070.3010085,1508
1669285070.32201,1592
1669285070.3230417,1680
1669285070.3250427,1774
1669285070.3472517,1863
1669285070.3481646,1941
1669285070.3723767,2001
1669285070.3733442,2047
1669285070.3743787,2072
1669285070.3975277,2074
1669285070.3985248,2056
1669285070.422343,2022
1669285070.4233418,1976
1669285070.4243426,1922
1669285070.4723446,1745
1669285070.4733706,1690
1669285070.4743779,1640
1669285070.4973454,1599
1669285070.5063748,1564
1669285070.5223777,1536
1669285070.523349,1514
1669285070.5243526,1502
1669285070.5473478,1505
1669285070.5484362,1514
1669285070.5723612,1526
1669285070.5733652,1538
1669285070.5743794,1553
1669285070.5973964,1571
1669285070.5983977,1586
1669285070.6223478,1592
1669285070.6233447,1598
1669285070.6243804,1606
1669285070.6474044,1612
1669285070.6483965,1620
1669285070.672381,1629
1669285070.6773722,1639
1669285070.6783984,1648
1669285070.697403,1657
1669285070.7223485,1665
1669285070.7263505,1695
1669285070.7474387,1699
1669285070.7483628,1699
1669285070.7743473,1696
1669285070.7973824,1692
1669285070.8583446,1727
